numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
516.0,10318009.0,7837169.0,126.0,41.0,137.0,51.6,1031800.9,783716.9,12.6,4.1,13.7,289.0,7.225,40.0,1
544.0,11213211.0,8662136.0,138.0,42.0,138.0,54.4,1121321.1,866213.6,13.8,4.2,13.8,288.0,7.024390243902439,41.0,1
511.0,10501702.0,8097510.0,132.0,42.0,127.0,51.1,1050170.2,809751.0,13.2,4.2,12.7,288.0,7.024390243902439,41.0,1
518.0,10959903.0,8450759.0,138.0,42.0,122.0,51.8,1095990.3,845075.9,13.8,4.2,12.2,288.0,7.024390243902439,41.0,1
576.0,12192232.0,9316107.0,154.0,42.0,137.0,57.6,1219223.2,931610.7,15.4,4.2,13.7,288.0,7.024390243902439,41.0,1
574.0,11848273.0,8954816.0,154.0,42.0,141.0,57.4,1184827.3,895481.6,15.4,4.2,14.1,287.0,7.0,41.0,1
542.0,11081602.0,8246909.0,146.0,41.0,138.0,54.2,1108160.2,824690.9,14.6,4.1,13.8,287.0,7.0,41.0,1
614.0,12138445.0,8934518.0,168.0,42.0,154.0,61.4,1213844.5,893451.8,16.8,4.2,15.4,287.0,7.0,41.0,1
604.0,11816374.0,8670454.0,160.0,42.0,158.0,60.4,1181637.4,867045.4,16.0,4.2,15.8,287.0,7.0,41.0,1
634.0,12819800.0,9580539.0,165.0,41.0,168.0,63.4,1281980.0,958053.9,16.5,4.1,16.8,280.0,7.0,40.0,1
707.0,14849489.0,11250551.0,188.0,42.0,181.0,70.7,1484948.9,1125055.1,18.8,4.2,18.1,287.0,7.0,41.0,1
790.0,16759937.0,12804377.0,212.0,42.0,198.0,79.0,1675993.7,1280437.7,21.2,4.2,19.8,287.0,7.0,41.0,1
765.0,16804591.0,12916419.0,208.0,41.0,192.0,76.5,1680459.1,1291641.9,20.8,4.1,19.2,280.0,7.0,40.0,1
786.0,16941944.0,12942856.0,218.0,42.0,190.0,78.6,1694194.4,1294285.6,21.8,4.2,19.0,287.0,7.0,41.0,1
724.0,15274065.0,11499674.0,209.0,42.0,171.0,72.4,1527406.5,1149967.4,20.9,4.2,17.1,287.0,7.0,41.0,1
672.0,13957343.0,10441407.0,199.0,41.0,152.0,67.2,1395734.3,1044140.7,19.9,4.1,15.2,280.0,7.0,40.0,1
651.0,12797114.0,9394465.0,192.0,42.0,150.0,65.1,1279711.4,939446.5,19.2,4.2,15.0,287.0,7.0,41.0,1
628.0,12656214.0,9356951.0,185.0,42.0,142.0,62.8,1265621.4,935695.1,18.5,4.2,14.2,287.0,7.0,41.0,1
597.0,12020706.0,8970956.0,171.0,41.0,141.0,59.7,1202070.6,897095.6,17.1,4.1,14.1,280.0,7.0,40.0,1
602.0,12174982.0,9205876.0,169.0,42.0,144.0,60.2,1217498.2,920587.6,16.9,4.2,14.4,288.0,7.024390243902439,41.0,1
617.0,12409634.0,9422575.0,169.0,42.0,153.0,61.7,1240963.4,942257.5,16.9,4.2,15.3,288.0,7.024390243902439,41.0,1
585.0,11893795.0,9088821.0,160.0,42.0,145.0,58.5,1189379.5,908882.1,16.0,4.2,14.5,288.0,7.024390243902439,41.0,1
550.0,10971373.0,8332428.0,150.0,42.0,135.0,55.0,1097137.3,833242.8,15.0,4.2,13.5,288.0,7.024390243902439,41.0,1
559.0,11313962.0,8620004.0,154.0,42.0,135.0,55.9,1131396.2,862000.4,15.4,4.2,13.5,288.0,7.024390243902439,41.0,1
553.0,11761882.0,9063723.0,150.0,42.0,135.0,55.3,1176188.2,906372.3,15.0,4.2,13.5,287.0,7.0,41.0,1
531.0,11063837.0,8420148.0,146.0,42.0,125.0,53.1,1106383.7,842014.8,14.6,4.2,12.5,287.0,7.0,41.0,1
565.0,12341034.0,9493913.0,153.0,42.0,132.0,56.5,1234103.4,949391.3,15.3,4.2,13.2,287.0,7.0,41.0,1
605.0,13056320.0,10137956.0,167.0,42.0,145.0,60.5,1305632.0,1013795.6,16.7,4.2,14.5,288.0,7.024390243902439,41.0,1
616.0,13251397.0,10176613.0,177.0,42.0,148.0,61.6,1325139.7,1017661.3,17.7,4.2,14.8,288.0,7.024390243902439,41.0,1
628.0,13149893.0,9992034.0,184.0,42.0,144.0,62.8,1314989.3,999203.4,18.4,4.2,14.4,288.0,7.024390243902439,41.0,1
609.0,12775402.0,9740697.0,175.0,42.0,144.0,60.9,1277540.2,974069.7,17.5,4.2,14.4,288.0,7.024390243902439,41.0,1
574.0,11935685.0,9091932.0,167.0,41.0,139.0,57.4,1193568.5,909193.2,16.7,4.1,13.9,288.0,7.024390243902439,41.0,1
570.0,11905841.0,9010368.0,160.0,42.0,143.0,57.0,1190584.1,901036.8,16.0,4.2,14.3,287.0,7.0,41.0,1
570.0,12143455.0,9304595.0,154.0,42.0,143.0,57.0,1214345.5,930459.5,15.4,4.2,14.3,287.0,7.0,41.0,1
601.0,12701485.0,9794305.0,165.0,42.0,154.0,60.1,1270148.5,979430.5,16.5,4.2,15.4,287.0,7.0,41.0,1
634.0,13565843.0,10502852.0,174.0,42.0,163.0,63.4,1356584.3,1050285.2,17.4,4.2,16.3,287.0,7.0,41.0,1
637.0,13575040.0,10456795.0,177.0,42.0,159.0,63.7,1357504.0,1045679.5,17.7,4.2,15.9,287.0,7.0,41.0,1
665.0,13717843.0,10427912.0,191.0,42.0,157.0,66.5,1371784.3,1042791.2,19.1,4.2,15.7,287.0,7.0,41.0,1
659.0,13618346.0,10387110.0,188.0,42.0,161.0,65.9,1361834.6,1038711.0,18.8,4.2,16.1,287.0,7.0,41.0,1
669.0,14059882.0,10785887.0,187.0,41.0,163.0,66.9,1405988.2,1078588.7,18.7,4.1,16.3,280.0,7.0,40.0,1
660.0,13947324.0,10672830.0,184.0,41.0,161.0,66.0,1394732.4,1067283.0,18.4,4.1,16.1,280.0,7.0,40.0,1
685.0,14223492.0,10790644.0,190.0,42.0,168.0,68.5,1422349.2,1079064.4,19.0,4.2,16.8,287.0,7.0,41.0,1
676.0,14393580.0,11047235.0,186.0,41.0,164.0,67.6,1439358.0,1104723.5,18.6,4.1,16.4,280.0,7.0,40.0,1
629.0,13365861.0,10190252.0,172.0,41.0,148.0,62.9,1336586.1,1019025.2,17.2,4.1,14.8,280.0,7.0,40.0,1
634.0,13362906.0,10153126.0,173.0,42.0,149.0,63.4,1336290.6,1015312.6,17.3,4.2,14.9,287.0,7.0,41.0,1
681.0,14245193.0,10808304.0,187.0,42.0,160.0,68.1,1424519.3,1080830.4,18.7,4.2,16.0,287.0,7.0,41.0,1
643.0,13720463.0,10497224.0,175.0,41.0,152.0,64.3,1372046.3,1049722.4,17.5,4.1,15.2,280.0,7.0,40.0,1
615.0,13483781.0,10423596.0,163.0,42.0,150.0,61.5,1348378.1,1042359.6,16.3,4.2,15.0,287.0,7.0,41.0,1
702.0,15494428.0,12079242.0,190.0,42.0,170.0,70.2,1549442.8,1207924.2,19.0,4.2,17.0,287.0,7.0,41.0,1
684.0,14520530.0,11122280.0,187.0,41.0,167.0,68.4,1452053.0,1112228.0,18.7,4.1,16.7,280.0,7.0,40.0,1
645.0,14095435.0,11012342.0,176.0,42.0,158.0,64.5,1409543.5,1101234.2,17.6,4.2,15.8,287.0,7.0,41.0,1
665.0,14435561.0,11327780.0,185.0,42.0,159.0,66.5,1443556.1,1132778.0,18.5,4.2,15.9,287.0,7.0,41.0,1
677.0,14464438.0,11267104.0,186.0,41.0,165.0,67.7,1446443.8,1126710.4,18.6,4.1,16.5,280.0,7.0,40.0,1
623.0,13126585.0,10198227.0,173.0,42.0,151.0,62.3,1312658.5,1019822.7,17.3,4.2,15.1,287.0,7.0,41.0,1
631.0,13820886.0,10948371.0,173.0,42.0,153.0,63.1,1382088.6,1094837.1,17.3,4.2,15.3,288.0,7.024390243902439,41.0,1
625.0,13317607.0,10412877.0,169.0,41.0,154.0,62.5,1331760.7,1041287.7,16.9,4.1,15.4,282.0,7.05,40.0,1
414.0,9795208.0,7868718.0,121.0,30.0,98.0,41.4,979520.8,786871.8,12.1,3.0,9.8,291.0,10.03448275862069,29.0,1
410.0,10051224.0,8157436.0,121.0,30.0,99.0,41.0,1005122.4,815743.6,12.1,3.0,9.9,291.0,10.03448275862069,29.0,1
367.0,8511352.0,6776226.0,110.0,30.0,92.0,36.7,851135.2,677622.6,11.0,3.0,9.2,290.0,10.0,29.0,1
406.0,10600455.0,8799682.0,112.0,30.0,96.0,40.6,1060045.5,879968.2,11.2,3.0,9.6,290.0,10.0,29.0,1
384.0,11161946.0,9434208.0,101.0,29.0,91.0,38.4,1116194.6,943420.8,10.1,2.9,9.1,280.0,10.0,28.0,1
438.0,13708222.0,11797476.0,105.0,29.0,102.0,43.8,1370822.2,1179747.6,10.5,2.9,10.2,280.0,10.0,28.0,1
436.0,14068506.0,12193400.0,100.0,29.0,100.0,43.6,1406850.6,1219340.0,10.0,2.9,10.0,280.0,10.0,28.0,1
506.0,16163075.0,14014957.0,115.0,29.0,111.0,50.6,1616307.5,1401495.7,11.5,2.9,11.1,280.0,10.0,28.0,1
535.0,17325523.0,14986972.0,127.0,29.0,121.0,53.5,1732552.3,1498697.2,12.7,2.9,12.1,280.0,10.0,28.0,1
565.0,17864951.0,15437110.0,130.0,30.0,128.0,56.5,1786495.1,1543711.0,13.0,3.0,12.8,290.0,10.0,29.0,1
507.0,14759464.0,12537340.0,121.0,30.0,123.0,50.7,1475946.4,1253734.0,12.1,3.0,12.3,290.0,10.0,29.0,1
488.0,13587392.0,11387789.0,118.0,30.0,119.0,48.8,1358739.2,1138778.9,11.8,3.0,11.9,290.0,10.0,29.0,1
423.0,11288435.0,9301423.0,109.0,30.0,112.0,42.3,1128843.5,930142.3,10.9,3.0,11.2,290.0,10.0,29.0,1
377.0,8689015.0,6861708.0,100.0,30.0,101.0,37.7,868901.5,686170.8,10.0,3.0,10.1,290.0,10.0,29.0,1
321.0,6556110.0,4876118.0,90.0,29.0,89.0,32.1,655611.0,487611.8,9.0,2.9,8.9,280.0,10.0,28.0,1
318.0,6689160.0,5039008.0,88.0,29.0,84.0,31.8,668916.0,503900.8,8.8,2.9,8.4,282.0,10.071428571428571,28.0,1
326.0,6844555.0,5129394.0,95.0,29.0,88.0,32.6,684455.5,512939.4,9.5,2.9,8.8,282.0,10.071428571428571,28.0,1
382.0,9092551.0,7106578.0,108.0,29.0,98.0,38.2,909255.1,710657.8,10.8,2.9,9.8,282.0,10.071428571428571,28.0,1
350.0,7870891.0,5957641.0,103.0,29.0,94.0,35.0,787089.1,595764.1,10.3,2.9,9.4,282.0,10.071428571428571,28.0,1
408.0,10746667.0,8710036.0,116.0,30.0,100.0,40.8,1074666.7,871003.6,11.6,3.0,10.0,291.0,10.03448275862069,29.0,1
409.0,10984683.0,8889408.0,115.0,30.0,103.0,40.9,1098468.3,888940.8,11.5,3.0,10.3,290.0,10.0,29.0,1
440.0,12637954.0,10469460.0,122.0,30.0,103.0,44.0,1263795.4,1046946.0,12.2,3.0,10.3,290.0,10.0,29.0,1
421.0,12583085.0,10589296.0,113.0,30.0,92.0,42.1,1258308.5,1058929.6,11.3,3.0,9.2,290.0,10.0,29.0,1
478.0,14815218.0,12666576.0,125.0,29.0,100.0,47.8,1481521.8,1266657.6,12.5,2.9,10.0,280.0,10.0,28.0,1
485.0,14359293.0,12173011.0,128.0,29.0,103.0,48.5,1435929.3,1217301.1,12.8,2.9,10.3,280.0,10.0,28.0,1
503.0,14470952.0,12166376.0,142.0,29.0,110.0,50.3,1447095.2,1216637.6,14.2,2.9,11.0,280.0,10.0,28.0,1
531.0,14603681.0,12086500.0,152.0,29.0,121.0,53.1,1460368.1,1208650.0,15.2,2.9,12.1,280.0,10.0,28.0,1
534.0,14470974.0,11852684.0,157.0,29.0,128.0,53.4,1447097.4,1185268.4,15.7,2.9,12.8,281.0,10.035714285714286,28.0,1
