numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
44,1584398,1271750,15,8,10,4.4,158439.8,127175.0,1.5,0.8,1.0,292.0,41.71428571428572,7,1
40,1635306,1364698,13,7,10,4.0,163530.6,136469.8,1.3,0.7,1.0,241.0,40.16666666666666,6,1
40,1633096,1402959,12,8,10,4.0,163309.6,140295.9,1.2,0.8,1.0,274.0,39.142857142857146,7,1
41,1793165,1596545,13,7,9,4.1,179316.5,159654.5,1.3,0.7,0.9,230.0,38.333333333333336,6,1
56,1943662,1600937,19,8,16,5.6,194366.2,160093.7,1.9,0.8,1.6,274.0,39.142857142857146,7,1
54,1871814,1606118,17,7,15,5.4,187181.4,160611.8,1.7,0.7,1.5,232.0,38.66666666666666,6,1
70,1794810,1358756,24,8,19,7.0,179481.0,135875.6,2.4,0.8,1.9,281.0,40.142857142857146,7,1
73,1816830,1385168,23,7,19,7.3,181683.0,138516.8,2.3,0.7,1.9,238.0,39.66666666666666,6,1
90,2499866,2073868,20,8,17,9.0,249986.6,207386.8,2.0,0.8,1.7,279.0,39.85714285714285,7,1
81,2376912,2076979,14,7,13,8.1,237691.2,207697.9,1.4,0.7,1.3,243.0,40.5,6,1
79,2438791,2156544,11,8,12,7.9,243879.1,215654.4,1.1,0.8,1.2,280.0,40.0,7,1
61,2054574,1941053,3,7,8,6.1,205457.4,194105.3,0.3,0.7,0.8,244.0,40.66666666666666,6,1
65,1840056,1703396,5,8,11,6.5,184005.6,170339.6,0.5,0.8,1.1,283.0,40.42857142857143,7,1
43,706296,576602,7,7,12,4.3,70629.6,57660.2,0.7,0.7,1.2,244.0,40.66666666666666,6,1
46,1366737,1204125,8,7,10,4.6,136673.7,120412.5,0.8,0.7,1.0,250.0,41.66666666666666,6,1
54,1693397,1513341,12,7,10,5.4,169339.7,151334.1,1.2,0.7,1.0,254.0,42.333333333333336,6,1
55,1722030,1513341,13,7,10,5.5,172203.0,151334.1,1.3,0.7,1.0,264.0,44.0,6,1
60,1988828,1731044,15,7,11,6.0,198882.8,173104.4,1.5,0.7,1.1,250.0,41.66666666666666,6,1
58,1898689,1632985,14,7,12,5.8,189868.9,163298.5,1.4,0.7,1.2,244.0,40.66666666666666,6,1
55,1591435,1375026,11,8,12,5.5,159143.5,137502.6,1.1,0.8,1.2,286.0,40.85714285714285,7,1
47,1207066,985456,11,7,11,4.7,120706.6,98545.6,1.1,0.7,1.1,247.0,41.16666666666666,6,1
50,1237385,989848,13,7,11,5.0,123738.5,98984.8,1.3,0.7,1.1,259.0,43.16666666666666,6,1
54,985833,701531,16,7,12,5.4,98583.3,70153.1,1.6,0.7,1.2,260.0,43.333333333333336,6,1
56,999038,697139,18,7,13,5.6,99903.8,69713.9,1.8,0.7,1.3,250.0,41.66666666666666,6,1
57,1027696,691389,20,7,15,5.7,102769.6,69138.9,2.0,0.7,1.5,245.0,40.833333333333336,6,1
60,1042602,691389,21,7,17,6.0,104260.2,69138.9,2.1,0.7,1.7,238.0,39.66666666666666,6,1
63,1567305,1220696,19,8,19,6.3,156730.5,122069.6,1.9,0.8,1.9,295.0,42.142857142857146,7,1
40,1134414,913800,12,7,13,4.0,113441.4,91380.0,1.2,0.7,1.3,255.0,42.5,6,1
46,1187438,913800,15,8,15,4.6,118743.8,91380.0,1.5,0.8,1.5,291.0,41.57142857142857,7,1
44,948491,709126,13,7,14,4.4,94849.1,70912.6,1.3,0.7,1.4,242.0,40.333333333333336,6,1
49,1350850,1120642,10,7,13,4.9,135085.0,112064.2,1.0,0.7,1.3,239.0,39.833333333333336,6,1
44,807548,586943,12,7,9,4.4,80754.8,58694.3,1.2,0.7,0.9,244.0,40.66666666666666,6,1
50,1641722,1425128,11,7,9,5.0,164172.2,142512.8,1.1,0.7,0.9,251.0,41.833333333333336,6,1
63,2480100,2273497,10,7,5,6.3,248010.0,227349.7,1.0,0.7,0.5,258.0,43.0,6,1
63,2363261,2106854,13,7,7,6.3,236326.1,210685.4,1.3,0.7,0.7,256.0,42.66666666666666,6,1
