time_window_number,sub_window_start,ip,numRequests,tamanhoResposta,numRequestsJS,numRequestsHTML,numRequestsCSS,numGET
1,2024-11-08 15:12:13,127.0.0.1,40,450441,5,4,7,40
1,2024-11-08 15:12:13,127.0.0.2,7,185954,3,1,0,7
1,2024-11-08 15:12:13,127.0.0.3,2,2700,0,0,0,2
1,2024-11-08 15:16:13,127.0.0.1,27,142189,8,0,7,27
58,2024-11-08 19:57:13,127.0.0.1,28,813517,8,0,7,28
58,2024-11-08 19:57:43,127.0.0.1,2,4298,0,1,0,2
58,2024-11-08 19:59:13,127.0.0.1,11,919165,0,1,0,11
58,2024-11-08 20:01:13,127.0.0.1,16,756471,8,1,0,16
59,2024-11-08 20:02:13,127.0.0.1,2,18610,0,1,0,2
59,2024-11-08 20:02:43,127.0.0.1,1,3228,0,1,0,1
59,2024-11-08 20:03:43,127.0.0.1,6,25055,0,2,0,6
59,2024-11-08 20:04:13,127.0.0.1,1,15534,0,0,0,1
59,2024-11-08 20:04:43,127.0.0.1,19,898253,0,1,0,19
59,2024-11-08 20:05:13,127.0.0.1,3,5778,0,1,0,3
59,2024-11-08 20:06:13,127.0.0.1,10,663005,0,3,0,10
60,2024-11-08 20:07:13,127.0.0.1,4,68232,0,1,0,4
60,2024-11-08 20:07:43,127.0.0.1,1,2451,0,0,0,1
60,2024-11-08 20:08:13,127.0.0.1,5,132105,0,2,0,5
61,2024-11-08 20:14:13,127.0.0.1,1,32768,0,0,0,1
61,2024-11-08 20:15:43,127.0.0.1,7,165680,0,3,0,7
61,2024-11-08 20:16:13,127.0.0.1,3,49621,0,2,0,3
1753,2024-11-14 17:14:43,127.0.0.1,47,2412023,8,3,7,47
1753,2024-11-14 17:15:13,127.0.0.1,23,1688529,0,5,0,23
1759,2024-11-14 17:44:13,127.0.0.1,29,598038,8,2,7,29
1760,2024-11-14 17:47:13,127.0.0.1,5,4979,0,1,0,5
1760,2024-11-14 17:48:13,127.0.0.1,1,3228,0,1,0,1
1760,2024-11-14 17:48:43,127.0.0.1,12,43946,0,2,0,12
1761,2024-11-14 17:55:13,127.0.0.1,13,248291,0,2,0,13
1762,2024-11-14 17:57:43,127.0.0.1,4,21578,0,1,0,4
1762,2024-11-14 17:58:43,127.0.0.1,3,9998,0,2,0,3
