time_window_number,ip,mean_numRequests,mean_tamanhoResposta,mean_numRequestsJS,mean_numRequestsHTML,mean_numRequestsCSS,mean_numGET,variance_numRequests,variance_tamanhoResposta,variance_numRequestsJS,variance_numRequestsHTML,variance_numRequestsCSS,variance_numGET,covariance_numRequests_tamanhoResposta,covariance_numRequestsJS_numRequestsHTML_numRequestsCSS,covariance_numGET_numRequests
1,154.213.191.23,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
3,185.191.126.248,2.0,2417.0,0.0,0.0,0.0,1.0,,,,,,,,,
3,194.50.16.198,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
5,5.8.11.202,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
8,125.229.98.199,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
9,154.213.184.43,1.0,1925.0,0.0,0.0,0.0,1.0,,,,,,,,,
9,194.50.16.198,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
11,179.43.191.98,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
12,194.50.16.198,1.0,455.0,0.0,1.0,0.0,1.0,,,,,,,,,
13,46.19.138.234,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
14,45.149.241.114,1.0,455.0,0.0,0.0,0.0,1.0,,,,,,,,,
14,51.159.102.237,6.0,3288.0,1.0,0.0,0.0,5.0,,,,,,,,,
14,65.49.1.87,1.0,1012.0,0.0,0.0,0.0,1.0,,,,,,,,,
15,65.49.1.82,1.0,436.0,0.0,0.0,0.0,1.0,,,,,,,,,
15,65.49.1.89,1.0,436.0,0.0,0.0,0.0,1.0,,,,,,,,,
15,95.214.55.79,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
17,191.185.133.173,1.0,1944.0,0.0,0.0,0.0,1.0,,,,,,,,,
18,141.98.11.178,1.0,1068.0,0.0,0.0,0.0,1.0,,,,,,,,,
19,179.43.168.146,25.0,12133.5,0.5,0.0,0.0,25.0,1058.0,188432284.5,0.5,0.0,0.0,1058.0,1058.0,446499.0,23.0
22,172.206.143.92,1.0,1012.0,0.0,0.0,0.0,1.0,,,,,,,,,
