numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,totalSilenceTime,silenceCount,Label
45,1772954,1573751,8,2,7,189,3,0
26,1986678,1970655,0,4,0,123,3,0
27,1990365,1970655,0,5,0,230,4,0
27,1990365,1970655,0,5,0,230,4,0
20,1785532,1764331,0,5,0,203,4,0
35,1934298,1898207,0,8,0,290,8,0
26,912709,881188,0,7,0,227,7,0
25,909022,881188,0,6,0,138,6,0
37,1428954,1386685,0,11,0,259,13,0
32,675830,641322,0,9,0,240,12,0
92,5701539,5613618,1,8,1,244,10,0
129,6460075,6247167,15,9,5,211,11,0
129,6460075,6247167,15,9,5,211,11,0
153,5975124,5749020,43,9,5,280,9,0
149,5973175,5747071,43,9,5,181,8,0
77,1010901,848625,42,8,4,220,7,0
45,252403,215564,32,6,0,236,7,0
54,562883,513928,37,8,0,274,9,0
22,537971,509516,9,5,0,210,6,0
24,544897,511967,9,6,0,272,8,0
23,338834,306692,9,6,0,256,8,0
17,333613,306204,5,6,0,231,6,0
8,23133,7840,0,4,0,144,4,0
5,15515,7353,0,2,0,239,3,0
3,8589,4902,0,1,0,148,1,0
3,10085,4902,0,1,0,117,1,0
4,11751,4902,0,1,0,218,2,0
8,13701,6852,0,1,0,221,3,0
9,29939,19935,0,2,0,210,3,0
9,29939,19935,0,2,0,210,3,0
12,31998,25324,0,2,0,208,5,0
11,30332,25324,0,2,0,205,4,0
7,28382,23374,0,2,0,99,3,0
13,109157,7840,5,2,0,221,5,0
27,126218,12740,15,4,0,260,7,0
42,138916,12250,29,6,0,115,7,0
47,169024,27784,29,9,0,188,9,0
49,174629,30234,29,9,0,239,11,0
46,82893,36109,24,9,0,233,11,0
33,69519,31209,14,8,0,288,10,0
17,49078,25809,0,5,0,233,8,0
13,22125,10275,0,3,0,265,7,0
19,20418,11723,0,3,0,287,6,0
42,214873,103254,19,7,0,228,7,0
41,211186,103254,19,6,0,226,6,0
38,209724,101792,19,6,0,235,6,0
39,212652,104243,19,6,0,247,7,0
32,212884,100345,19,7,0,271,7,0
7,21898,5390,0,4,0,156,5,0
7,21898,5390,0,4,0,156,5,0
36,384818,250216,14,8,0,267,10,0
39,382051,249715,14,8,0,239,10,0
41,387656,252165,14,8,0,242,11,0
47,508227,359713,14,12,0,210,15,0
69,598202,360200,33,13,0,272,17,0
44,252168,119788,19,12,0,260,14,0
27,811581,617177,8,0,7,0,0,0
1,5183,0,0,1,0,0,0,0
3,5183,0,0,1,0,0,0,0
5,5183,0,0,1,0,0,0,0
1,5183,0,0,1,0,0,0,0
10,5183,0,0,1,0,0,0,0
8,5278,0,0,1,0,0,0,0
16,962733,951184,0,3,0,55,2,0
17,963221,951672,0,3,0,75,3,0
26,1984713,1968689,0,4,0,149,4,0
26,1984713,1968689,0,4,0,149,4,0
25,1979435,1968689,0,3,0,138,3,0
10,1021980,1017505,0,1,0,74,1,0
9,1021492,1017017,0,1,0,0,0,0
1,3687,0,0,1,0,0,0,0
6,263897,256578,0,2,0,112,1,0
9,756309,744860,0,3,0,121,2,0
9,756309,744860,0,3,0,121,2,0
9,756309,744860,0,3,0,121,2,0
10,771310,760393,0,3,0,215,2,0
6,514255,503815,0,2,0,276,2,0
4,25406,15533,0,2,0,89,2,0
4,25406,15533,0,2,0,89,2,0
4,25406,15533,0,2,0,89,2,0
5,228147,218740,0,3,0,252,3,0
4,224992,218740,0,3,0,233,2,0
3,221429,218740,0,2,0,8,1,0
13,342338,334632,0,3,0,154,2,0
13,342338,334632,0,3,0,154,2,0
10,120909,115892,0,1,0,0,0,0
10,120909,115892,0,1,0,0,0,0
10,120909,115892,0,1,0,0,0,0
32,1217520,1093705,10,1,4,17,1,0
41,1230181,1096155,16,2,4,73,3,0
49,1238604,1096155,22,4,4,117,5,0
131,6413829,6202326,31,5,5,200,8,0
131,6413829,6202326,31,5,5,200,8,0
99,5196309,5108621,21,4,1,130,6,0
90,5183648,5106171,15,3,1,100,4,0
82,5175225,5106171,9,1,1,36,2,0
5,92001,87189,0,2,0,41,2,0
5,92001,87189,0,2,0,41,2,0
8,192235,182145,0,3,0,142,3,0
8,192235,182145,0,3,0,142,3,0
6,150109,141596,0,2,0,130,2,0
8,102670,97392,0,1,0,175,2,0
8,102670,97392,0,1,0,175,2,0
5,2436,2436,0,0,0,4,1,0
5,2436,2436,0,0,0,4,1,0
5,2436,2436,0,0,0,4,1,0
4,1949,0,4,0,0,0,0,0
516,10318009,7837169,126,41,137,289,40,1
544,11213211,8662136,138,42,138,288,41,1
511,10501702,8097510,132,42,127,288,41,1
518,10959903,8450759,138,42,122,288,41,1
576,12192232,9316107,154,42,137,288,41,1
574,11848273,8954816,154,42,141,287,41,1
542,11081602,8246909,146,41,138,287,41,1
614,12138445,8934518,168,42,154,287,41,1
604,11816374,8670454,160,42,158,287,41,1
634,12819800,9580539,165,41,168,280,40,1
707,14849489,11250551,188,42,181,287,41,1
790,16759937,12804377,212,42,198,287,41,1
765,16804591,12916419,208,41,192,280,40,1
786,16941944,12942856,218,42,190,287,41,1
724,15274065,11499674,209,42,171,287,41,1
672,13957343,10441407,199,41,152,280,40,1
651,12797114,9394465,192,42,150,287,41,1
628,12656214,9356951,185,42,142,287,41,1
597,12020706,8970956,171,41,141,280,40,1
602,12174982,9205876,169,42,144,288,41,1
617,12409634,9422575,169,42,153,288,41,1
585,11893795,9088821,160,42,145,288,41,1
550,10971373,8332428,150,42,135,288,41,1
559,11313962,8620004,154,42,135,288,41,1
553,11761882,9063723,150,42,135,287,41,1
531,11063837,8420148,146,42,125,287,41,1
565,12341034,9493913,153,42,132,287,41,1
605,13056320,10137956,167,42,145,288,41,1
616,13251397,10176613,177,42,148,288,41,1
628,13149893,9992034,184,42,144,288,41,1
609,12775402,9740697,175,42,144,288,41,1
574,11935685,9091932,167,41,139,288,41,1
570,11905841,9010368,160,42,143,287,41,1
570,12143455,9304595,154,42,143,287,41,1
601,12701485,9794305,165,42,154,287,41,1
634,13565843,10502852,174,42,163,287,41,1
637,13575040,10456795,177,42,159,287,41,1
665,13717843,10427912,191,42,157,287,41,1
659,13618346,10387110,188,42,161,287,41,1
669,14059882,10785887,187,41,163,280,40,1
660,13947324,10672830,184,41,161,280,40,1
685,14223492,10790644,190,42,168,287,41,1
676,14393580,11047235,186,41,164,280,40,1
629,13365861,10190252,172,41,148,280,40,1
634,13362906,10153126,173,42,149,287,41,1
681,14245193,10808304,187,42,160,287,41,1
643,13720463,10497224,175,41,152,280,40,1
615,13483781,10423596,163,42,150,287,41,1
702,15494428,12079242,190,42,170,287,41,1
684,14520530,11122280,187,41,167,280,40,1
645,14095435,11012342,176,42,158,287,41,1
665,14435561,11327780,185,42,159,287,41,1
677,14464438,11267104,186,41,165,280,40,1
623,13126585,10198227,173,42,151,287,41,1
631,13820886,10948371,173,42,153,288,41,1
625,13317607,10412877,169,41,154,282,40,1
414,9795208,7868718,121,30,98,291,29,1
410,10051224,8157436,121,30,99,291,29,1
367,8511352,6776226,110,30,92,290,29,1
406,10600455,8799682,112,30,96,290,29,1
384,11161946,9434208,101,29,91,280,28,1
438,13708222,11797476,105,29,102,280,28,1
436,14068506,12193400,100,29,100,280,28,1
506,16163075,14014957,115,29,111,280,28,1
535,17325523,14986972,127,29,121,280,28,1
565,17864951,15437110,130,30,128,290,29,1
507,14759464,12537340,121,30,123,290,29,1
488,13587392,11387789,118,30,119,290,29,1
423,11288435,9301423,109,30,112,290,29,1
377,8689015,6861708,100,30,101,290,29,1
321,6556110,4876118,90,29,89,280,28,1
318,6689160,5039008,88,29,84,282,28,1
326,6844555,5129394,95,29,88,282,28,1
