numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
516,10318009,7837169,126,41,137,51.6,1031800.9,783716.9,12.6,4.1,13.7,289.0,7.225,40,1
544,11213211,8662136,138,42,138,54.4,1121321.1,866213.6,13.8,4.2,13.8,288.0,7.024390243902439,41,1
511,10501702,8097510,132,42,127,51.1,1050170.2,809751.0,13.2,4.2,12.7,288.0,7.024390243902439,41,1
518,10959903,8450759,138,42,122,51.8,1095990.3,845075.9,13.8,4.2,12.2,288.0,7.024390243902439,41,1
576,12192232,9316107,154,42,137,57.6,1219223.2,931610.7,15.4,4.2,13.7,288.0,7.024390243902439,41,1
574,11848273,8954816,154,42,141,57.4,1184827.3,895481.6,15.4,4.2,14.1,287.0,7.0,41,1
542,11081602,8246909,146,41,138,54.2,1108160.2,824690.9,14.6,4.1,13.8,287.0,7.0,41,1
614,12138445,8934518,168,42,154,61.4,1213844.5,893451.8,16.8,4.2,15.4,287.0,7.0,41,1
604,11816374,8670454,160,42,158,60.4,1181637.4,867045.4,16.0,4.2,15.8,287.0,7.0,41,1
634,12819800,9580539,165,41,168,63.4,1281980.0,958053.9,16.5,4.1,16.8,280.0,7.0,40,1
707,14849489,11250551,188,42,181,70.7,1484948.9,1125055.1,18.8,4.2,18.1,287.0,7.0,41,1
790,16759937,12804377,212,42,198,79.0,1675993.7,1280437.7,21.2,4.2,19.8,287.0,7.0,41,1
765,16804591,12916419,208,41,192,76.5,1680459.1,1291641.9,20.8,4.1,19.2,280.0,7.0,40,1
786,16941944,12942856,218,42,190,78.6,1694194.4,1294285.6,21.8,4.2,19.0,287.0,7.0,41,1
724,15274065,11499674,209,42,171,72.4,1527406.5,1149967.4,20.9,4.2,17.1,287.0,7.0,41,1
672,13957343,10441407,199,41,152,67.2,1395734.3,1044140.7,19.9,4.1,15.2,280.0,7.0,40,1
651,12797114,9394465,192,42,150,65.1,1279711.4,939446.5,19.2,4.2,15.0,287.0,7.0,41,1
628,12656214,9356951,185,42,142,62.8,1265621.4,935695.1,18.5,4.2,14.2,287.0,7.0,41,1
597,12020706,8970956,171,41,141,59.7,1202070.6,897095.6,17.1,4.1,14.1,280.0,7.0,40,1
602,12174982,9205876,169,42,144,60.2,1217498.2,920587.6,16.9,4.2,14.4,288.0,7.024390243902439,41,1
617,12409634,9422575,169,42,153,61.7,1240963.4,942257.5,16.9,4.2,15.3,288.0,7.024390243902439,41,1
585,11893795,9088821,160,42,145,58.5,1189379.5,908882.1,16.0,4.2,14.5,288.0,7.024390243902439,41,1
550,10971373,8332428,150,42,135,55.0,1097137.3,833242.8,15.0,4.2,13.5,288.0,7.024390243902439,41,1
559,11313962,8620004,154,42,135,55.9,1131396.2,862000.4,15.4,4.2,13.5,288.0,7.024390243902439,41,1
553,11761882,9063723,150,42,135,55.3,1176188.2,906372.3,15.0,4.2,13.5,287.0,7.0,41,1
531,11063837,8420148,146,42,125,53.1,1106383.7,842014.8,14.6,4.2,12.5,287.0,7.0,41,1
565,12341034,9493913,153,42,132,56.5,1234103.4,949391.3,15.3,4.2,13.2,287.0,7.0,41,1
605,13056320,10137956,167,42,145,60.5,1305632.0,1013795.6,16.7,4.2,14.5,288.0,7.024390243902439,41,1
