numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount
366,11306491,9833835,82,26,78,36.6,1130649.1,983383.5,8.2,2.6,7.8,287.0,11.48,25
385,12964841,11400399,89,27,81,38.5,1296484.1,1140039.9,8.9,2.7,8.1,292.0,11.23076923076923,26
342,12121707,10849770,73,26,71,34.2,1212170.7,1084977.0,7.3,2.6,7.1,284.0,11.36,25
363,15494120,14373482,63,26,63,36.3,1549412.0,1437348.2,6.3,2.6,6.3,276.0,11.04,25
367,15140186,13925928,72,27,72,36.7,1514018.6,1392592.8,7.2,2.7,7.2,279.0,10.73076923076923,26
411,18256849,16897126,80,28,76,41.1,1825684.9,1689712.6,8.0,2.8,7.6,283.0,10.481481481481481,27
441,20101766,18770906,79,27,78,44.1,2010176.6,1877090.6,7.9,2.7,7.8,267.0,10.26923076923077,26
503,24675361,23362158,78,28,70,50.3,2467536.1,2336215.8,7.8,2.8,7.0,285.0,10.555555555555555,27
529,23574970,21991667,96,28,78,52.9,2357497.0,2199166.7,9.6,2.8,7.8,280.0,10.37037037037037,27
467,20055010,18464234,94,27,74,46.7,2005501.0,1846423.4,9.4,2.7,7.4,281.0,10.807692307692308,26
475,18064622,16455518,91,28,81,47.5,1806462.2,1645551.8,9.1,2.8,8.1,286.0,10.592592592592593,27
443,15035190,13499382,90,28,79,44.3,1503519.0,1349938.2,9.0,2.8,7.9,285.0,10.555555555555555,27
421,12245675,10677900,98,28,86,42.1,1224567.5,1067790.0,9.8,2.8,8.6,288.0,10.666666666666666,27
364,10391054,8972146,86,27,78,36.4,1039105.4,897214.6,8.6,2.7,7.8,282.0,10.846153846153847,26
384,11290107,9972826,80,27,77,38.4,1129010.7,997282.6,8.0,2.7,7.7,281.0,10.807692307692308,26
328,10420533,9184483,76,27,61,32.8,1042053.3,918448.3,7.6,2.7,6.1,281.0,10.807692307692308,26
325,10064633,8691906,80,27,66,32.5,1006463.3,869190.6,8.0,2.7,6.6,287.0,11.038461538461538,26
