numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,totalSilenceTime,silenceCount
45,1772954,1573751,8,2,7,189,3
26,1986678,1970655,0,4,0,123,3
27,1990365,1970655,0,5,0,230,4
27,1990365,1970655,0,5,0,230,4
20,1785532,1764331,0,5,0,203,4
35,1934298,1898207,0,8,0,290,8
26,912709,881188,0,7,0,227,7
25,909022,881188,0,6,0,138,6
37,1428954,1386685,0,11,0,259,13
32,675830,641322,0,9,0,240,12
92,5701539,5613618,1,8,1,244,10
129,6460075,6247167,15,9,5,211,11
129,6460075,6247167,15,9,5,211,11
153,5975124,5749020,43,9,5,280,9
149,5973175,5747071,43,9,5,181,8
77,1010901,848625,42,8,4,220,7
45,252403,215564,32,6,0,236,7
54,562883,513928,37,8,0,274,9
22,537971,509516,9,5,0,210,6
24,544897,511967,9,6,0,272,8
23,338834,306692,9,6,0,256,8
17,333613,306204,5,6,0,231,6
8,23133,7840,0,4,0,144,4
5,15515,7353,0,2,0,239,3
3,8589,4902,0,1,0,148,1
3,10085,4902,0,1,0,117,1
4,11751,4902,0,1,0,218,2
8,13701,6852,0,1,0,221,3
9,29939,19935,0,2,0,210,3
9,29939,19935,0,2,0,210,3
12,31998,25324,0,2,0,208,5
11,30332,25324,0,2,0,205,4
7,28382,23374,0,2,0,99,3
13,109157,7840,5,2,0,221,5
27,126218,12740,15,4,0,260,7
42,138916,12250,29,6,0,115,7
47,169024,27784,29,9,0,188,9
49,174629,30234,29,9,0,239,11
46,82893,36109,24,9,0,233,11
33,69519,31209,14,8,0,288,10
17,49078,25809,0,5,0,233,8
13,22125,10275,0,3,0,265,7
19,20418,11723,0,3,0,287,6
42,214873,103254,19,7,0,228,7
41,211186,103254,19,6,0,226,6
38,209724,101792,19,6,0,235,6
39,212652,104243,19,6,0,247,7
32,212884,100345,19,7,0,271,7
7,21898,5390,0,4,0,156,5
7,21898,5390,0,4,0,156,5
36,384818,250216,14,8,0,267,10
39,382051,249715,14,8,0,239,10
41,387656,252165,14,8,0,242,11
47,508227,359713,14,12,0,210,15
69,598202,360200,33,13,0,272,17
44,252168,119788,19,12,0,260,14
27,811581,617177,8,0,7,0,0
1,5183,0,0,1,0,0,0
3,5183,0,0,1,0,0,0
5,5183,0,0,1,0,0,0
1,5183,0,0,1,0,0,0
10,5183,0,0,1,0,0,0
8,5278,0,0,1,0,0,0
16,962733,951184,0,3,0,55,2
17,963221,951672,0,3,0,75,3
26,1984713,1968689,0,4,0,149,4
26,1984713,1968689,0,4,0,149,4
25,1979435,1968689,0,3,0,138,3
10,1021980,1017505,0,1,0,74,1
9,1021492,1017017,0,1,0,0,0
1,3687,0,0,1,0,0,0
6,263897,256578,0,2,0,112,1
9,756309,744860,0,3,0,121,2
9,756309,744860,0,3,0,121,2
9,756309,744860,0,3,0,121,2
10,771310,760393,0,3,0,215,2
6,514255,503815,0,2,0,276,2
4,25406,15533,0,2,0,89,2
4,25406,15533,0,2,0,89,2
4,25406,15533,0,2,0,89,2
5,228147,218740,0,3,0,252,3
4,224992,218740,0,3,0,233,2
3,221429,218740,0,2,0,8,1
13,342338,334632,0,3,0,154,2
13,342338,334632,0,3,0,154,2
10,120909,115892,0,1,0,0,0
10,120909,115892,0,1,0,0,0
10,120909,115892,0,1,0,0,0
32,1217520,1093705,10,1,4,17,1
41,1230181,1096155,16,2,4,73,3
49,1238604,1096155,22,4,4,117,5
131,6413829,6202326,31,5,5,200,8
131,6413829,6202326,31,5,5,200,8
99,5196309,5108621,21,4,1,130,6
90,5183648,5106171,15,3,1,100,4
82,5175225,5106171,9,1,1,36,2
5,92001,87189,0,2,0,41,2
5,92001,87189,0,2,0,41,2
8,192235,182145,0,3,0,142,3
8,192235,182145,0,3,0,142,3
6,150109,141596,0,2,0,130,2
8,102670,97392,0,1,0,175,2
8,102670,97392,0,1,0,175,2
5,2436,2436,0,0,0,4,1
5,2436,2436,0,0,0,4,1
5,2436,2436,0,0,0,4,1
4,1949,0,4,0,0,0,0
