numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount
45.0,1772954.0,1573751.0,8.0,2.0,7.0,4.5,177295.4,157375.1,0.8,0.2,0.7,189.0,63.0,3.0
26.0,1986678.0,1970655.0,0.0,4.0,0.0,2.6,198667.8,197065.5,0.0,0.4,0.0,123.0,41.0,3.0
27.0,1990365.0,1970655.0,0.0,5.0,0.0,2.7,199036.5,197065.5,0.0,0.5,0.0,230.0,57.5,4.0
27.0,1990365.0,1970655.0,0.0,5.0,0.0,2.7,199036.5,197065.5,0.0,0.5,0.0,230.0,57.5,4.0
20.0,1785532.0,1764331.0,0.0,5.0,0.0,2.0,178553.2,176433.1,0.0,0.5,0.0,203.0,50.75,4.0
35.0,1934298.0,1898207.0,0.0,8.0,0.0,3.5,193429.8,189820.7,0.0,0.8,0.0,290.0,36.25,8.0
26.0,912709.0,881188.0,0.0,7.0,0.0,2.6,91270.9,88118.8,0.0,0.7,0.0,227.0,32.42857142857143,7.0
25.0,909022.0,881188.0,0.0,6.0,0.0,2.5,90902.2,88118.8,0.0,0.6,0.0,138.0,23.0,6.0
37.0,1428954.0,1386685.0,0.0,11.0,0.0,3.7,142895.4,138668.5,0.0,1.1,0.0,259.0,19.923076923076923,13.0
32.0,675830.0,641322.0,0.0,9.0,0.0,3.2,67583.0,64132.2,0.0,0.9,0.0,240.0,20.0,12.0
92.0,5701539.0,5613618.0,1.0,8.0,1.0,9.2,570153.9,561361.8,0.1,0.8,0.1,244.0,24.4,10.0
129.0,6460075.0,6247167.0,15.0,9.0,5.0,12.9,646007.5,624716.7,1.5,0.9,0.5,211.0,19.181818181818183,11.0
129.0,6460075.0,6247167.0,15.0,9.0,5.0,12.9,646007.5,624716.7,1.5,0.9,0.5,211.0,19.181818181818183,11.0
153.0,5975124.0,5749020.0,43.0,9.0,5.0,15.3,597512.4,574902.0,4.3,0.9,0.5,280.0,31.11111111111111,9.0
149.0,5973175.0,5747071.0,43.0,9.0,5.0,14.9,597317.5,574707.1,4.3,0.9,0.5,181.0,22.625,8.0
77.0,1010901.0,848625.0,42.0,8.0,4.0,7.7,101090.1,84862.5,4.2,0.8,0.4,220.0,31.428571428571427,7.0
45.0,252403.0,215564.0,32.0,6.0,0.0,4.5,25240.3,21556.4,3.2,0.6,0.0,236.0,33.714285714285715,7.0
54.0,562883.0,513928.0,37.0,8.0,0.0,5.4,56288.3,51392.8,3.7,0.8,0.0,274.0,30.444444444444443,9.0
22.0,537971.0,509516.0,9.0,5.0,0.0,2.2,53797.1,50951.6,0.9,0.5,0.0,210.0,35.0,6.0
24.0,544897.0,511967.0,9.0,6.0,0.0,2.4,54489.7,51196.7,0.9,0.6,0.0,272.0,34.0,8.0
23.0,338834.0,306692.0,9.0,6.0,0.0,2.3,33883.4,30669.2,0.9,0.6,0.0,256.0,32.0,8.0
17.0,333613.0,306204.0,5.0,6.0,0.0,1.7,33361.3,30620.4,0.5,0.6,0.0,231.0,38.5,6.0
8.0,23133.0,7840.0,0.0,4.0,0.0,0.8,2313.3,784.0,0.0,0.4,0.0,144.0,36.0,4.0
5.0,15515.0,7353.0,0.0,2.0,0.0,0.5,1551.5,735.3,0.0,0.2,0.0,239.0,79.66666666666667,3.0
3.0,8589.0,4902.0,0.0,1.0,0.0,0.3,858.9,490.2,0.0,0.1,0.0,148.0,148.0,1.0
3.0,10085.0,4902.0,0.0,1.0,0.0,0.3,1008.5,490.2,0.0,0.1,0.0,117.0,117.0,1.0
