numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label,
45,1772954,1573751,8,2,7,4.5,177295.4,157375.1,0.8,0.2,0.7,189,63,3,1,
26,1986678,1970655,0,4,0,2.6,198667.8,197065.5,0,0.4,0,123,41,3,1,
27,1990365,1970655,0,5,0,2.7,199036.5,197065.5,0,0.5,0,230,57.5,4,1,
27,1990365,1970655,0,5,0,2.7,199036.5,197065.5,0,0.5,0,230,57.5,4,1,
20,1785532,1764331,0,5,0,2,178553.2,176433.1,0,0.5,0,203,50.75,4,1,
35,1934298,1898207,0,8,0,3.5,193429.8,189820.7,0,0.8,0,290,36.25,8,1,
26,912709,881188,0,7,0,2.6,91270.9,88118.8,0,0.7,0,227,32.42857142857143,7,1,
25,909022,881188,0,6,0,2.5,90902.2,88118.8,0,0.6,0,138,23,6,1,
37,1428954,1386685,0,11,0,3.7,142895.4,138668.5,0,1.1,0,259,19.923076923076923,13,1,
32,675830,641322,0,9,0,3.2,67583,64132.2,0,0.9,0,240,20,12,1,
92,5701539,5613618,1,8,1,9.2,570153.9,561361.8,0.1,0.8,0.1,244,24.4,10,1,
129,6460075,6247167,15,9,5,12.9,646007.5,624716.7,1.5,0.9,0.5,211,19.181818181818183,11,1,
129,6460075,6247167,15,9,5,12.9,646007.5,624716.7,1.5,0.9,0.5,211,19.181818181818183,11,1,
153,5975124,5749020,43,9,5,15.3,597512.4,574902,4.3,0.9,0.5,280,31.11111111111111,9,1,
149,5973175,5747071,43,9,5,14.9,597317.5,574707.1,4.3,0.9,0.5,181,22.625,8,1,
77,1010901,848625,42,8,4,7.7,101090.1,84862.5,4.2,0.8,0.4,220,31.428571428571427,7,1,
45,252403,215564,32,6,0,4.5,25240.3,21556.4,3.2,0.6,0,236,33.714285714285715,7,1,
54,562883,513928,37,8,0,5.4,56288.3,51392.8,3.7,0.8,0,274,30.444444444444443,9,1,
22,537971,509516,9,5,0,2.2,53797.1,50951.6,0.9,0.5,0,210,35,6,1,
24,544897,511967,9,6,0,2.4,54489.7,51196.7,0.9,0.6,0,272,34,8,1,
23,338834,306692,9,6,0,2.3,33883.4,30669.2,0.9,0.6,0,256,32,8,1,
17,333613,306204,5,6,0,1.7,33361.3,30620.4,0.5,0.6,0,231,38.5,6,1,
8,23133,7840,0,4,0,0.8,2313.3,784,0,0.4,0,144,36,4,1,
5,15515,7353,0,2,0,0.5,1551.5,735.3,0,0.2,0,239,79.66666666666667,3,1,
3,8589,4902,0,1,0,0.3,858.9,490.2,0,0.1,0,148,148,1,1,
3,10085,4902,0,1,0,0.3,1008.5,490.2,0,0.1,0,117,117,1,1,
4,11751,4902,0,1,0,0.4,1175.1,490.2,0,0.1,0,218,109,2,1,
8,13701,6852,0,1,0,0.8,1370.1,685.2,0,0.1,0,221,73.66666666666667,3,1,
9,29939,19935,0,2,0,0.9,2993.9,1993.5,0,0.2,0,210,70,3,1,
9,29939,19935,0,2,0,0.9,2993.9,1993.5,0,0.2,0,210,70,3,1,
12,31998,25324,0,2,0,1.2,3199.8,2532.4,0,0.2,0,208,41.6,5,1,
11,30332,25324,0,2,0,1.1,3033.2,2532.4,0,0.2,0,205,51.25,4,1,
7,28382,23374,0,2,0,0.7,2838.2,2337.4,0,0.2,0,99,33,3,1,
13,109157,7840,5,2,0,1.3,10915.7,784,0.5,0.2,0,221,44.2,5,1,
27,126218,12740,15,4,0,2.7,12621.8,1274,1.5,0.4,0,260,37.142857142857146,7,1,
42,138916,12250,29,6,0,4.2,13891.6,1225,2.9,0.6,0,115,16.428571428571427,7,1,
47,169024,27784,29,9,0,4.7,16902.4,2778.4,2.9,0.9,0,188,20.88888888888889,9,1,
49,174629,30234,29,9,0,4.9,17462.9,3023.4,2.9,0.9,0,239,21.727272727272727,11,1,
46,82893,36109,24,9,0,4.6,8289.3,3610.9,2.4,0.9,0,233,21.181818181818183,11,1,
33,69519,31209,14,8,0,3.3,6951.9,3120.9,1.4,0.8,0,288,28.8,10,1,
17,49078,25809,0,5,0,1.7,4907.8,2580.9,0,0.5,0,233,29.125,8,1,
13,22125,10275,0,3,0,1.3,2212.5,1027.5,0,0.3,0,265,37.857142857142854,7,1,
19,20418,11723,0,3,0,1.9,2041.8,1172.3,0,0.3,0,287,47.833333333333336,6,1,
42,214873,103254,19,7,0,4.2,21487.3,10325.4,1.9,0.7,0,228,32.57142857142857,7,1,
41,211186,103254,19,6,0,4.1,21118.6,10325.4,1.9,0.6,0,226,37.666666666666664,6,1,
38,209724,101792,19,6,0,3.8,20972.4,10179.2,1.9,0.6,0,235,39.166666666666664,6,1,
39,212652,104243,19,6,0,3.9,21265.2,10424.3,1.9,0.6,0,247,35.285714285714285,7,1,
32,212884,100345,19,7,0,3.2,21288.4,10034.5,1.9,0.7,0,271,38.714285714285715,7,1,
7,21898,5390,0,4,0,0.7,2189.8,539,0,0.4,0,156,31.2,5,1,
7,21898,5390,0,4,0,0.7,2189.8,539,0,0.4,0,156,31.2,5,1,
36,384818,250216,14,8,0,3.6,38481.8,25021.6,1.4,0.8,0,267,26.7,10,1,
39,382051,249715,14,8,0,3.9,38205.1,24971.5,1.4,0.8,0,239,23.9,10,1,
41,387656,252165,14,8,0,4.1,38765.6,25216.5,1.4,0.8,0,242,22,11,1,
47,508227,359713,14,12,0,4.7,50822.7,35971.3,1.4,1.2,0,210,14,15,1,
69,598202,360200,33,13,0,6.9,59820.2,36020,3.3,1.3,0,272,16,17,1,
44,252168,119788,19,12,0,4.4,25216.8,11978.8,1.9,1.2,0,260,18.571428571428573,14,1,
27,811581,617177,8,0,7,2.7,81158.1,61717.7,0.8,0,0.7,0,0,0,1,
1,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,1,
1,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,1,
1,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,1,
1,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,1,
1,5183,0,0,1,0,0.1,518.3,0,0,0.1,0,0,0,0,1,
1,5278,0,0,1,0,0.1,527.8,0,0,0.1,0,0,0,0,1,
16,962733,951184,0,3,0,1.6,96273.3,95118.4,0,0.3,0,55,27.5,2,1,
17,963221,951672,0,3,0,1.7,96322.1,95167.2,0,0.3,0,75,25,3,1,
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0,0.4,0,149,37.25,4,1,
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0,0.4,0,149,37.25,4,1,
25,1979435,1968689,0,3,0,2.5,197943.5,196868.9,0,0.3,0,138,46,3,1,
10,1021980,1017505,0,1,0,1,102198,101750.5,0,0.1,0,74,74,1,1,
9,1021492,1017017,0,1,0,0.9,102149.2,101701.7,0,0.1,0,0,0,0,1,
1,3687,0,0,1,0,0.1,368.7,0,0,0.1,0,0,0,0,1,
6,263897,256578,0,2,0,0.6,26389.7,25657.8,0,0.2,0,112,112,1,1,
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,1,
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,1,
9,756309,744860,0,3,0,0.9,75630.9,74486,0,0.3,0,121,60.5,2,1,
10,771310,760393,0,3,0,1,77131,76039.3,0,0.3,0,215,107.5,2,1,
