numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount
27,811581,617177,8,0,7,2.7,81158.1,61717.7,0.8,0.0,0.7,0.0,0.0,0
1,5183,0,0,1,0,0.1,518.3,0.0,0.0,0.1,0.0,0.0,0.0,0
1,5183,0,0,1,0,0.1,518.3,0.0,0.0,0.1,0.0,0.0,0.0,0
1,5183,0,0,1,0,0.1,518.3,0.0,0.0,0.1,0.0,0.0,0.0,0
1,5183,0,0,1,0,0.1,518.3,0.0,0.0,0.1,0.0,0.0,0.0,0
1,5183,0,0,1,0,0.1,518.3,0.0,0.0,0.1,0.0,0.0,0.0,0
1,5278,0,0,1,0,0.1,527.8,0.0,0.0,0.1,0.0,0.0,0.0,0
16,962733,951184,0,3,0,1.6,96273.3,95118.4,0.0,0.3,0.0,55.0,27.5,2
17,963221,951672,0,3,0,1.7,96322.1,95167.2,0.0,0.3,0.0,75.0,25.0,3
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0.0,0.4,0.0,149.0,37.25,4
26,1984713,1968689,0,4,0,2.6,198471.3,196868.9,0.0,0.4,0.0,149.0,37.25,4
25,1979435,1968689,0,3,0,2.5,197943.5,196868.9,0.0,0.3,0.0,138.0,46.0,3
10,1021980,1017505,0,1,0,1.0,102198.0,101750.5,0.0,0.1,0.0,74.0,74.0,1
9,1021492,1017017,0,1,0,0.9,102149.2,101701.7,0.0,0.1,0.0,0.0,0.0,0
1,3687,0,0,1,0,0.1,368.7,0.0,0.0,0.1,0.0,0.0,0.0,0
6,263897,256578,0,2,0,0.6,26389.7,25657.8,0.0,0.2,0.0,112.0,112.0,1
9,756309,744860,0,3,0,0.9,75630.9,74486.0,0.0,0.3,0.0,121.0,60.5,2
9,756309,744860,0,3,0,0.9,75630.9,74486.0,0.0,0.3,0.0,121.0,60.5,2
9,756309,744860,0,3,0,0.9,75630.9,74486.0,0.0,0.3,0.0,121.0,60.5,2
10,771310,760393,0,3,0,1.0,77131.0,76039.3,0.0,0.3,0.0,215.0,107.5,2
6,514255,503815,0,2,0,0.6,51425.5,50381.5,0.0,0.2,0.0,276.0,138.0,2
4,25406,15533,0,2,0,0.4,2540.6,1553.3,0.0,0.2,0.0,89.0,44.5,2
