numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount
45,1772954,1573751,8,2,7,4.5,177295.4,157375.1,0.8,0.2,0.7,189.0,63.0,3
26,1986678,1970655,0,4,0,2.6,198667.8,197065.5,0.0,0.4,0.0,123.0,41.0,3
27,1990365,1970655,0,5,0,2.7,199036.5,197065.5,0.0,0.5,0.0,230.0,57.5,4
27,1990365,1970655,0,5,0,2.7,199036.5,197065.5,0.0,0.5,0.0,230.0,57.5,4
20,1785532,1764331,0,5,0,2.0,178553.2,176433.1,0.0,0.5,0.0,203.0,50.75,4
35,1934298,1898207,0,8,0,3.5,193429.8,189820.7,0.0,0.8,0.0,290.0,36.25,8
26,912709,881188,0,7,0,2.6,91270.9,88118.8,0.0,0.7,0.0,227.0,32.42857142857143,7
25,909022,881188,0,6,0,2.5,90902.2,88118.8,0.0,0.6,0.0,138.0,23.0,6
37,1428954,1386685,0,11,0,3.7,142895.4,138668.5,0.0,1.1,0.0,259.0,19.923076923076923,13
32,675830,641322,0,9,0,3.2,67583.0,64132.2,0.0,0.9,0.0,240.0,20.0,12
92,5701539,5613618,1,8,1,9.2,570153.9,561361.8,0.1,0.8,0.1,244.0,24.4,10
129,6460075,6247167,15,9,5,12.9,646007.5,624716.7,1.5,0.9,0.5,211.0,19.181818181818183,11
129,6460075,6247167,15,9,5,12.9,646007.5,624716.7,1.5,0.9,0.5,211.0,19.181818181818183,11
153,5975124,5749020,43,9,5,15.3,597512.4,574902.0,4.3,0.9,0.5,280.0,31.11111111111111,9
149,5973175,5747071,43,9,5,14.9,597317.5,574707.1,4.3,0.9,0.5,181.0,22.625,8
77,1010901,848625,42,8,4,7.7,101090.1,84862.5,4.2,0.8,0.4,220.0,31.428571428571427,7
45,252403,215564,32,6,0,4.5,25240.3,21556.4,3.2,0.6,0.0,236.0,33.714285714285715,7
54,562883,513928,37,8,0,5.4,56288.3,51392.8,3.7,0.8,0.0,274.0,30.444444444444443,9
22,537971,509516,9,5,0,2.2,53797.1,50951.6,0.9,0.5,0.0,210.0,35.0,6
24,544897,511967,9,6,0,2.4,54489.7,51196.7,0.9,0.6,0.0,272.0,34.0,8
23,338834,306692,9,6,0,2.3,33883.4,30669.2,0.9,0.6,0.0,256.0,32.0,8
17,333613,306204,5,6,0,1.7,33361.3,30620.4,0.5,0.6,0.0,231.0,38.5,6
8,23133,7840,0,4,0,0.8,2313.3,784.0,0.0,0.4,0.0,144.0,36.0,4
5,15515,7353,0,2,0,0.5,1551.5,735.3,0.0,0.2,0.0,239.0,79.66666666666667,3
3,8589,4902,0,1,0,0.3,858.9,490.2,0.0,0.1,0.0,148.0,148.0,1
3,10085,4902,0,1,0,0.3,1008.5,490.2,0.0,0.1,0.0,117.0,117.0,1
4,11751,4902,0,1,0,0.4,1175.1,490.2,0.0,0.1,0.0,218.0,109.0,2
8,13701,6852,0,1,0,0.8,1370.1,685.2,0.0,0.1,0.0,221.0,73.66666666666667,3
9,29939,19935,0,2,0,0.9,2993.9,1993.5,0.0,0.2,0.0,210.0,70.0,3
9,29939,19935,0,2,0,0.9,2993.9,1993.5,0.0,0.2,0.0,210.0,70.0,3
12,31998,25324,0,2,0,1.2,3199.8,2532.4,0.0,0.2,0.0,208.0,41.6,5
11,30332,25324,0,2,0,1.1,3033.2,2532.4,0.0,0.2,0.0,205.0,51.25,4
7,28382,23374,0,2,0,0.7,2838.2,2337.4,0.0,0.2,0.0,99.0,33.0,3
13,109157,7840,5,2,0,1.3,10915.7,784.0,0.5,0.2,0.0,221.0,44.2,5
27,126218,12740,15,4,0,2.7,12621.8,1274.0,1.5,0.4,0.0,260.0,37.142857142857146,7
42,138916,12250,29,6,0,4.2,13891.6,1225.0,2.9,0.6,0.0,115.0,16.428571428571427,7
47,169024,27784,29,9,0,4.7,16902.4,2778.4,2.9,0.9,0.0,188.0,20.88888888888889,9
49,174629,30234,29,9,0,4.9,17462.9,3023.4,2.9,0.9,0.0,239.0,21.727272727272727,11
46,82893,36109,24,9,0,4.6,8289.3,3610.9,2.4,0.9,0.0,233.0,21.181818181818183,11
33,69519,31209,14,8,0,3.3,6951.9,3120.9,1.4,0.8,0.0,288.0,28.8,10
17,49078,25809,0,5,0,1.7,4907.8,2580.9,0.0,0.5,0.0,233.0,29.125,8
13,22125,10275,0,3,0,1.3,2212.5,1027.5,0.0,0.3,0.0,265.0,37.857142857142854,7
19,20418,11723,0,3,0,1.9,2041.8,1172.3,0.0,0.3,0.0,287.0,47.833333333333336,6
42,214873,103254,19,7,0,4.2,21487.3,10325.4,1.9,0.7,0.0,228.0,32.57142857142857,7
41,211186,103254,19,6,0,4.1,21118.6,10325.4,1.9,0.6,0.0,226.0,37.666666666666664,6
38,209724,101792,19,6,0,3.8,20972.4,10179.2,1.9,0.6,0.0,235.0,39.166666666666664,6
39,212652,104243,19,6,0,3.9,21265.2,10424.3,1.9,0.6,0.0,247.0,35.285714285714285,7
32,212884,100345,19,7,0,3.2,21288.4,10034.5,1.9,0.7,0.0,271.0,38.714285714285715,7
7,21898,5390,0,4,0,0.7,2189.8,539.0,0.0,0.4,0.0,156.0,31.2,5
7,21898,5390,0,4,0,0.7,2189.8,539.0,0.0,0.4,0.0,156.0,31.2,5
36,384818,250216,14,8,0,3.6,38481.8,25021.6,1.4,0.8,0.0,267.0,26.7,10
39,382051,249715,14,8,0,3.9,38205.1,24971.5,1.4,0.8,0.0,239.0,23.9,10
41,387656,252165,14,8,0,4.1,38765.6,25216.5,1.4,0.8,0.0,242.0,22.0,11
47,508227,359713,14,12,0,4.7,50822.7,35971.3,1.4,1.2,0.0,210.0,14.0,15
69,598202,360200,33,13,0,6.9,59820.2,36020.0,3.3,1.3,0.0,272.0,16.0,17
44,252168,119788,19,12,0,4.4,25216.8,11978.8,1.9,1.2,0.0,260.0,18.571428571428573,14
